"sensitivity(wavelength), created by Plot Digitizer, 2.6.12"
"Date: 16/10/25, 17:14:33"


67
wavelength,sensitivity
300,0.00752688,
302.430,0.00752688,
305.302,0.00752688,
308.837,0.0139785,
312.372,0.0247312,
315.023,0.0333333,
318.337,0.0376344,
321.651,0.0505376,
325.186,0.0591398,
329.163,0.0677419,
332.477,0.0784946,
336.233,0.0935484,
339.326,0.106452,
341.977,0.123656,
344.849,0.140860,
348.163,0.160215,
350.594,0.177419,
353.245,0.198925,
356.117,0.218280,
359.210,0.239785,
362.303,0.261290,
364.513,0.282796,
367.385,0.306452,
370.036,0.325806,
372.687,0.351613,
375.117,0.373118,
378.431,0.403226,
380.862,0.431183,
383.955,0.459140,
386.606,0.484946,
390.141,0.515054,
392.350,0.532258,
395.222,0.553763,
398.094,0.568817,
400.304,0.581720,
403.397,0.592473,
406.932,0.601075,
410.909,0.603226,
414.885,0.598925,
417.758,0.588172,
420.188,0.579570,
423.060,0.568817,
425.490,0.553763,
428.141,0.534409,
429.909,0.515054,
433.444,0.476344,
435.653,0.454839,
437.862,0.422581,
440.956,0.386021,
443.165,0.353763,
445.816,0.319355,
448.467,0.280645,
451.118,0.244086,
454.653,0.201075,
457.305,0.166667,
460.840,0.132258,
463.933,0.106452,
466.584,0.0827957,
469.014,0.0655914,
472.991,0.0462366,
476.305,0.0311828,
479.177,0.0204301,
481.607,0.0161290,
484.700,0.00967742,
488.677,0.00537634,
491.328,0.00537634,
494.421,0.00537634,
