wavelength,sensitivity
497.514,0.00322581
500.166,0.00967742
502.596,0.0247312
504.143,0.0440860
506.352,0.0806452
508.119,0.119355
509.887,0.173118
511.433,0.216129
512.538,0.263441
513.864,0.315054
515.189,0.368817
516.515,0.429032
518.282,0.497849
519.829,0.573118
521.375,0.641935
523.143,0.704301
524.910,0.770968
526.236,0.816129
527.341,0.846237
528.224,0.876344
529.550,0.908602
530.875,0.936559
532.643,0.964516
534.410,0.983871
536.399,0.994624
539.050,0.992473
540.817,0.986022
542.585,0.970968
544.352,0.949462
546.341,0.923656
547.887,0.895699
550.097,0.859140
551.643,0.829032
553.190,0.794624
554.515,0.760215
556.283,0.725806
558.271,0.682796
559.818,0.644086
561.585,0.603226
563.795,0.553763
565.562,0.519355
566.888,0.487097
568.876,0.450538
570.423,0.411828
572.190,0.379570
574.399,0.347312
575.946,0.317204
577.713,0.291398
579.481,0.265591
581.469,0.235484
583.679,0.205376
585.888,0.177419
588.760,0.151613
591.190,0.125806
594.062,0.102151
596.935,0.0827957
599.807,0.0677419
602.900,0.0526882
605.993,0.0419355
610.191,0.0268817
613.505,0.0182796
617.481,0.0118280
623.447,0.00537634
627.202,0.00322581
633.168,0.00107527
