wavelength,sensitivity
409.141,0.00537634
412.234,0.0161290
414.223,0.0333333
416.432,0.0655914
417.758,0.0978495
419.967,0.136559
421.734,0.186022
423.944,0.244086
425.490,0.291398
427.258,0.351613
429.246,0.407527
431.014,0.463441
433.002,0.506452
434.990,0.558065
436.537,0.596774
438.083,0.626882
439.630,0.661290
441.618,0.693548
443.386,0.719355
445.153,0.738710
446.921,0.760215
449.572,0.777419
452.665,0.790323
455.316,0.794624
457.967,0.790323
461.060,0.781720
463.270,0.768817
465.479,0.753763
467.247,0.736559
469.014,0.721505
471.223,0.700000
472.991,0.676344
474.758,0.656989
476.526,0.633333
478.293,0.609677
480.282,0.579570
482.270,0.549462
484.479,0.510753
487.131,0.476344
488.898,0.448387
490.887,0.416129
493.096,0.381720
495.526,0.343011
498.619,0.300000
501.712,0.256989
504.584,0.222581
506.131,0.201075
508.561,0.173118
512.538,0.136559
515.631,0.110753
518.061,0.0935484
521.154,0.0741935
524.247,0.0591398
527.561,0.0419355
531.096,0.0311828
535.294,0.0204301
539.713,0.0118280
545.015,0.00537634
