"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/12/25, 3:03:02 PM"


48
wavelength,transmission
299.664,0.00155619,
304.912,0.00140765,
310.505,0.00113164,
315.063,0.00123621,
319.985,0.00175044,
324.907,0.00250799,
329.819,0.00290613,
335.070,0.00273951,
340.319,0.00249268,
345.925,0.00259751,
350.488,0.00311826,
355.408,0.00423686,
359.630,0.00614255,
365.257,0.00944611,
370.180,0.0138572,
375.103,0.0199717,
380.376,0.0287840,
384.946,0.0393410,
389.515,0.0534539,
395.140,0.0793447,
400.416,0.122018,
405.340,0.181121,
410.261,0.253456,
415.181,0.344377,
420.445,0.415860,
425.003,0.459676,
430.261,0.490441,
435.165,0.499158,
440.419,0.493268,
444.971,0.484586,
449.872,0.459507,
455.473,0.435722,
460.373,0.403541,
465.272,0.369355,
470.519,0.322486,
475.766,0.279910,
480.312,0.245839,
485.555,0.198805,
489.746,0.157025,
494.636,0.119712,
499.870,0.0815928,
505.101,0.0524272,
509.979,0.0321349,
514.850,0.0173005,
520.415,0.00813278,
525.274,0.00341796,
529.783,0.00147076,
531.164,0.000990734,
