"sensitivity(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/20/25, 2:24:08 PM"


20
wavelength,sensitivity
460.123,-0.766813,
469.975,-0.657009,
480.248,-0.540837,
490.108,-0.403942,
500.164,-0.311671,
510.012,-0.217803,
520.270,-0.154221,
530.315,-0.103385,
540.355,-0.0716718,
550.187,-0.0367684,
560.438,-0.000278095,
570.257,-0.0115901,
580.277,-0.0515907,
590.297,-0.0931850,
600.318,-0.131592,
610.324,-0.222589,
620.322,-0.347052,
630.086,-0.557568,
640.066,-0.747370,
650.031,-0.989762,
