"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/12/25, 3:38:15 PM"


41
wavelength,transmission
702.102,0.00101477,
705.254,0.00187882,
710.158,0.00494615,
715.061,0.0125708,
719.965,0.0287474,
725.219,0.0591527,
730.823,0.108879,
735.026,0.166105,
739.930,0.248988,
745.884,0.339790,
750.088,0.414796,
754.991,0.494615,
760.245,0.576115,
765.149,0.636534,
770.403,0.678965,
774.956,0.719987,
780.210,0.754583,
785.814,0.781616,
790.368,0.800175,
795.271,0.814382,
800.175,0.828841,
805.779,0.838623,
810.683,0.843557,
815.236,0.853513,
820.490,0.853513,
825.744,0.858535,
829.947,0.863586,
835.201,0.863586,
840.105,0.863586,
845.359,0.868667,
850.963,0.868667,
855.166,0.868667,
860.070,0.878919,
864.623,0.878919,
870.928,0.878919,
875.832,0.878919,
880.385,0.878919,
884.939,0.878919,
890.543,0.884091,
895.447,0.873778,
900,0.878919,
