"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/19/25, 1:50:53 AM"


121
wavelength,transmission
299.825,0.304441,
305.439,0.319012,
310.351,0.344193,
314.561,0.373538,
319.474,0.407761,
325.439,0.432302,
330,0.447729,
335.263,0.458319,
339.825,0.469159,
345.088,0.483070,
350,0.500309,
355.263,0.515144,
359.825,0.527328,
365.088,0.536655,
370.351,0.546147,
374.561,0.552568,
380.175,0.555807,
385.439,0.562341,
390,0.568953,
395.263,0.575642,
399.825,0.579016,
404.386,0.582409,
410.351,0.592711,
415.263,0.596185,
419.825,0.603194,
425.439,0.606729,
430.351,0.610285,
435.263,0.613862,
439.825,0.621080,
445.439,0.617460,
450,0.624720,
455.263,0.628381,
460.175,0.628381,
465.088,0.635769,
470,0.635769,
474.912,0.639496,
479.825,0.643244,
485.088,0.643244,
490,0.643244,
494.912,0.643244,
499.825,0.643244,
505.088,0.643244,
510,0.643244,
515.263,0.647014,
519.825,0.643244,
525.088,0.647014,
530,0.643244,
535.263,0.647014,
539.825,0.647014,
545.088,0.647014,
550,0.650806,
554.912,0.647014,
560.175,0.647014,
565.088,0.647014,
570,0.643244,
574.912,0.647014,
580.175,0.647014,
585.088,0.650806,
590,0.654621,
594.912,0.654621,
600.175,0.654621,
605.088,0.658458,
610,0.650806,
615.263,0.647014,
619.825,0.647014,
625.088,0.643244,
630,0.643244,
634.912,0.643244,
640.175,0.639496,
645.088,0.639496,
649.649,0.639496,
654.912,0.639496,
660.175,0.639496,
664.737,0.635769,
670,0.635769,
674.912,0.643244,
680.175,0.635769,
685.088,0.635769,
690,0.639496,
694.912,0.647014,
700.175,0.650806,
705.088,0.650806,
710,0.662317,
714.912,0.674031,
720.175,0.685953,
725.088,0.694018,
730,0.702177,
734.912,0.710433,
740.175,0.722998,
745.088,0.727236,
750,0.735786,
755.263,0.740098,
759.825,0.744436,
765.088,0.748799,
770,0.748799,
774.912,0.748799,
780.175,0.753188,
785.088,0.766510,
790.351,0.757603,
794.912,0.762043,
800.175,0.753188,
805.088,0.762043,
810,0.762043,
814.912,0.771003,
820.175,0.766510,
825.088,0.762043,
830,0.762043,
835.263,0.762043,
839.825,0.771003,
845.088,0.771003,
850,0.775522,
855.614,0.771003,
860.175,0.766510,
864.737,0.771003,
870.351,0.775522,
875.263,0.775522,
880.175,0.780067,
885.088,0.775522,
890.351,0.775522,
894.912,0.775522,
900.175,0.775522,
