"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/18/25, 11:54:39 AM"


121
wavelength,transmission
300,0.0285559,
304.904,0.0308040,
309.807,0.0348155,
315.762,0.0414688,
319.965,0.0476959,
324.168,0.0520542,
330.123,0.0568107,
334.676,0.0602208,
339.930,0.0638357,
344.483,0.0692638,
349.387,0.0778286,
354.641,0.0889953,
360.245,0.0988409,
365.849,0.106003,
370.753,0.111063,
374.956,0.115016,
380.560,0.119110,
384.413,0.122633,
390.368,0.128487,
395.622,0.132288,
400.525,0.136996,
404.378,0.141048,
409.282,0.146923,
414.886,0.153042,
420.490,0.158489,
425.744,0.162228,
429.947,0.167026,
435.201,0.171966,
440.105,0.176023,
445.009,0.179128,
450.613,0.182289,
455.867,0.185504,
460.420,0.187680,
464.974,0.189881,
470.928,0.193231,
475.482,0.195497,
480.035,0.196640,
485.639,0.198946,
490.543,0.200109,
495.797,0.201279,
500.350,0.203639,
505.954,0.203639,
510.508,0.203639,
515.762,0.204829,
519.965,0.204829,
524.518,0.204829,
530.123,0.204829,
535.727,0.206027,
540.630,0.208443,
545.534,0.209662,
550.088,0.209662,
554.991,0.208443,
560.245,0.207231,
565.149,0.206027,
570.403,0.206027,
574.256,0.208443,
580.560,0.210887,
585.114,0.214608,
589.317,0.218394,
594.921,0.220955,
600.175,0.223546,
605.429,0.220955,
610.683,0.218394,
615.937,0.215863,
620.490,0.212120,
625.744,0.207231,
630.998,0.206027,
635.902,0.204829,
640.806,0.202455,
645.709,0.202455,
649.562,0.202455,
654.816,0.202455,
660.070,0.202455,
665.324,0.203639,
670.228,0.204829,
675.832,0.202455,
680.736,0.201279,
684.939,0.202455,
690.193,0.203639,
694.746,0.203639,
700,0.208443,
705.254,0.215863,
710.158,0.224853,
715.061,0.235587,
720.666,0.248277,
724.869,0.261650,
729.422,0.278978,
735.377,0.295724,
740.630,0.309841,
745.884,0.326531,
750.788,0.340131,
755.341,0.350190,
760.245,0.358451,
765.849,0.362655,
770.753,0.371211,
775.657,0.379968,
780.560,0.382189,
785.114,0.386671,
790.368,0.388932,
795.622,0.391206,
800.175,0.395793,
804.729,0.400435,
809.632,0.402776,
814.536,0.402776,
820.140,0.405131,
825.394,0.409881,
830.998,0.412278,
835.552,0.414688,
840.455,0.414688,
844.659,0.409881,
849.212,0.414688,
854.466,0.422004,
859.720,0.424471,
865.324,0.424471,
870.578,0.426953,
875.832,0.426953,
880.736,0.429449,
885.289,0.431960,
890.543,0.434485,
895.797,0.437025,
900,0.437025,
