"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/12/25, 1:38:18 PM"


67
wavelength,transmission
573.600,0.00100074,
575.761,0.00174062,
580.171,0.0121518,
584.921,0.0767534,
589.604,0.256647,
594.587,0.526375,
600.227,0.710655,
605.150,0.818422,
610.415,0.867931,
615.324,0.878087,
620.234,0.893609,
625.493,0.904056,
630.751,0.898609,
635.310,0.909133,
640.219,0.914371,
645.476,0.903525,
650.385,0.914097,
654.592,0.919382,
660.201,0.913833,
664.758,0.908345,
669.667,0.918974,
674.576,0.924268,
680.534,0.913286,
684.741,0.913173,
689.650,0.923858,
694.908,0.923715,
700.517,0.918140,
705.424,0.912617,
710.685,0.928739,
715.241,0.923162,
720.851,0.923010,
725.407,0.912080,
729.615,0.922772,
735.224,0.928069,
740.132,0.922486,
745.740,0.911534,
750.298,0.922210,
755.207,0.933001,
760.465,0.927379,
765.022,0.916398,
769.929,0.910885,
774.837,0.910753,
780.448,0.926834,
785.005,0.926709,
789.913,0.921135,
795.521,0.915575,
800.430,0.926288,
805.338,0.926155,
810.598,0.936982,
815.154,0.925887,
820.412,0.920308,
825.320,0.920175,
830.229,0.925476,
835.137,0.925342,
840.396,0.930664,
845.302,0.919634,
850.210,0.919501,
855.118,0.919368,
860.027,0.924664,
864.584,0.924540,
869.843,0.924397,
875.802,0.924235,
880.360,0.929569,
885.267,0.918552,
890.526,0.918410,
895.435,0.929157,
900.342,0.918145,
