"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/12/25, 3:20:59 AM"


81
wavelength,transmission
502.092,0.101469,
505.323,0.428030,
509.625,2.63342,
514.955,10.3550,
519.733,24.2594,
525.025,45.6359,
530.300,62.5898,
535.567,73.9430,
540.304,80.7210,
545.566,85.0795,
549.774,88.1142,
555.033,88.8842,
559.767,90.4520,
565.026,91.2424,
570.109,90.9691,
575.368,92.5730,
580.276,91.4893,
585.184,92.5597,
590.793,92.0121,
595.000,92.5464,
599.908,91.4631,
604.816,91.4565,
609.725,93.6157,
614.632,91.4434,
619.540,93.0561,
625.850,91.4284,
631.460,93.0399,
636.717,91.4138,
639.873,91.4096,
645.483,93.0208,
650.390,91.3955,
655.648,91.9248,
659.856,93.0013,
665.114,91.3759,
670.723,92.4439,
674.930,92.9807,
680.188,91.3557,
685.097,92.4245,
690.005,92.9602,
694.561,90.8036,
700.522,92.4036,
704.729,92.9402,
710.688,91.3150,
715.947,92.9250,
720.154,92.9193,
725.762,91.2948,
729.969,91.8250,
735.580,93.9919,
739.785,91.8118,
745.394,91.8042,
751.004,92.8773,
756.613,92.3279,
760.469,91.7840,
764.675,91.2429,
770.636,92.8507,
775.894,92.8435,
780.451,91.7572,
785.359,91.7506,
790.268,93.3688,
795.526,92.2753,
800.083,91.7308,
805.693,92.2616,
810.251,93.3415,
815.509,92.7897,
820.416,91.7035,
825.324,91.6970,
830.583,92.7693,
835.842,92.7621,
840.399,92.2148,
845.657,91.1348,
850.565,91.1283,
855.123,92.7360,
860.382,92.7288,
865.640,91.6429,
870.897,90.0412,
874.755,92.1684,
880.364,92.7017,
884.921,92.1547,
890.530,92.1472,
895.789,91.6025,
900.346,91.5964,
