"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/12/25, 5:16:48 AM"


81
wavelength,transmission
502.211,0.00101569,
505.413,0.00425698,
510.383,0.0279919,
515.688,0.122221,
519.566,0.245141,
525.542,0.463741,
530.806,0.621248,
535.015,0.727500,
540.273,0.803516,
545.178,0.856872,
550.433,0.877112,
555.688,0.897829,
560.241,0.897789,
565.146,0.908310,
570.399,0.908263,
575.303,0.908220,
579.857,0.913507,
585.111,0.918819,
590.365,0.913413,
595.619,0.913366,
599.822,0.918687,
605.426,0.918637,
609.279,0.923991,
615.233,0.913192,
619.437,0.923899,
625.040,0.907779,
629.944,0.918417,
635.549,0.918367,
639.752,0.918329,
644.656,0.923672,
650.259,0.907556,
655.513,0.912833,
659.367,0.923540,
665.671,0.907420,
669.875,0.923445,
675.128,0.918013,
680.032,0.907293,
685.286,0.923307,
690.190,0.917878,
695.793,0.907153,
700.347,0.923171,
705.251,0.923127,
710.504,0.907023,
715.409,0.923035,
720.312,0.917608,
725.216,0.912213,
729.768,0.896306,
734.673,0.922862,
739.927,0.922815,
744.830,0.912039,
750.785,0.922717,
756.039,0.922670,
760.592,0.917248,
765.495,0.901250,
770.750,0.917157,
774.603,0.922503,
779.857,0.911728,
786.512,0.917016,
791.416,0.927763,
795.619,0.922314,
799.822,0.916897,
805.776,0.916844,
810.680,0.922179,
815.934,0.922131,
820.137,0.911370,
825.041,0.911326,
830.295,0.916625,
835.199,0.921958,
840.102,0.921914,
844.305,0.905841,
849.559,0.905795,
854.463,0.916409,
859.717,0.916362,
864.971,0.916315,
870.224,0.905612,
874.428,0.916231,
880.032,0.921555,
884.936,0.916137,
890.189,0.910747,
895.443,0.905390,
900.347,0.915999,
